"Advertisements","Reclame"
"Allow","Toestaan"
"Almost there","Bijna daar."
"Back in stock","Terug op voorraad"
"Below settings work only when browser's settings allow sending push notifications.","Onderstaande instellingen werken alleen als de browserinstellingen het verzenden van pushmeldingen toestaan."
"Block","Blok"
"description","omschrijving"
"Enable notifications","Meldingen inschakelen"
"Enable push notifications","Push-berichten inschakelen"
"label","label"
"No, thank you","Nee, dank je."
"Notification enabled","Melding ingeschakeld"
"Notifications","Meldingen"
"Order status","Leveringsstatus"
"Permission settings were saved correctly.","Toestemmingsinstellingen werden correct opgeslagen."
"Please confirm that you would like to recieve notifications in your browser.","Gelieve te bevestigen dat u meldingen in uw browser wenst te ontvangen."
"Push notifications enabled","Pushberichten ingeschakeld"
"Push notifications settings","Instellingen voor Push-meldingen"
"Thank you! You will be informed when your order is shipped.","Dank u. U wordt geïnformeerd wanneer uw bestelling wordt verzonden."
"Would you like to be informed about the delivery status of your order via push notifications?","Wilt u via push notificatie op de hoogte gehouden worden over de afleverstatus van uw zending?"
"Yes, please","Ja, graag."
"You will be notified about your order status.","U zult op de hoogte worden gebracht van de status van de levering."
"You will receive information about upcoming sales and promitions.","U wordt op de hoogte gehouden van toekomstige aanbiedingen en kortingsacties."
"You will receive information if product you've been interested in will be available again.","U ontvangt dan informatie als een product waarin u geïnteresseerd was weer beschikbaar komt."
"Your order %1 was shipped","Uw bestelling %1 is verstuurd"
