"Advertisements","Werbung"
"Allow","Erlauben"
"Almost there","Fast dort"
"Back in stock","Verfügbarkeitsabo"
"Below settings work only when browser's settings allow sending push notifications.","Die folgenden Einstellungen funktionieren nur, wenn die Einstellungen des Browsers das Senden von Push-Benachrichtigungen zulassen."
"description","Beschreibung"
"Enable notifications","Benachrichtigungen aktivieren"
"Enable push notifications","Push Benachrichtigungen aktivieren"
"label","Kennzeichen"
"No, thank you","Nein, danke"
"Notification enabled","Benachrichtigung aktiviert"
"Notifications","Benachrichtigungen"
"Order status","Bestellstatus"
"Permission settings were saved correctly.","Die Berechtigungseinstellungen wurden korrekt gespeichert."
"Please confirm that you would like to recieve notifications in your browser.","Bitte bestätigen Sie, dass Sie Benachrichtigungen in Ihrem Browser erhalten möchten."
"Push notifications enabled","Push Benachrichtigungen aktiviert"
"Push notifications settings","Einstellungen für Push Benachrichtigungen"
"Thank you! You will be informed when your order is shipped.","Danke für die Bestellung! Sie werden informiert, sobald die Bestellung versandt wird."
"Would you like to be informed about the delivery status of your order via push notifications?","Würden Sie gern über den Lieferstatus Ihrer Sendung per Push Benachrichtigung informiert werden?"
"Yes, please","Ja, bitte"
"You will be notified about your order status.","Sie werden über den Lieferstatus benachrichtigt."
"You will receive information about upcoming sales and promitions.","Sie werden über zukünftige Angebote und Rabattaktionen benachrichtigt."
"You will receive information if product you've been interested in will be available again.","Danke. Sie werden per E-Mail informiert, sobald der Artikel wieder an Lager ist."
"Your order %1 was shipped","Ihre Bestellung %1 wurde versandt."
